产品编号,工序步骤,参数名称,标准值,上限,下限,单位,控制级别,监控方式
HD-N403,B组分,催化剂用量,0.05,0.08,0.02,%,重要,计量秤
HD-N403,应用,A/B混合比(质量),100:70,100:80,100:60,,关键,计量泵
HD-N403,应用,可操作时间(25℃),30,40,20,min,重要,凝胶时间测定
HD-N404,A组分,预聚NCO%,12.0,13.5,10.5,%,关键,滴定每批
HD-N404,A组分,预聚温度,80,85,75,℃,关键,DCS
HD-N404,B组分,羟值,220,240,200,mgKOH/g,关键,滴定每批
HD-N404,B组分,催化剂用量,0.05,0.08,0.02,%,重要,计量秤
HD-N404,应用,A/B混合比(质量),100:70,100:80,100:60,,关键,计量泵
HD-N404,应用,可操作时间(25℃),30,40,20,min,重要,凝胶时间测定
HD-T501,1.原料脱水,多元醇水分,≤0.03,0.03,,%,关键,卡尔费休
HD-T501,2.浇注混合,混合头温度,95,105,85,℃,关键,DCS
HD-T501,2.浇注混合,计量精度,±0.5,0.5,-0.5,%,关键,计量泵标定
HD-T501,3.双螺杆挤出,一区温度,160,170,150,℃,重要,DCS
HD-T501,3.双螺杆挤出,四区温度,195,205,185,℃,关键,DCS
HD-T501,3.双螺杆挤出,螺杆转速,220,280,160,rpm,一般,变频器
HD-T501,4.切粒干燥,干燥温度,90,100,80,℃,重要,DCS
HD-T501,4.切粒干燥,成品水分,≤0.03,0.03,,%,关键,卡尔费休每批
HD-T502,1.原料脱水,多元醇水分,≤0.03,0.03,,%,关键,卡尔费休
HD-T502,2.浇注混合,混合头温度,95,105,85,℃,关键,DCS
HD-T502,2.浇注混合,计量精度,±0.5,0.5,-0.5,%,关键,计量泵标定
HD-T502,3.双螺杆挤出,一区温度,160,170,150,℃,重要,DCS
HD-T502,3.双螺杆挤出,四区温度,195,205,185,℃,关键,DCS
HD-T502,3.双螺杆挤出,螺杆转速,220,280,160,rpm,一般,变频器
HD-T502,4.切粒干燥,干燥温度,90,100,80,℃,重要,DCS
HD-T502,4.切粒干燥,成品水分,≤0.03,0.03,,%,关键,卡尔费休每批
HD-T503,1.原料脱水,多元醇水分,≤0.03,0.03,,%,关键,卡尔费休
HD-T503,2.浇注混合,混合头温度,95,105,85,℃,关键,DCS
HD-T503,2.浇注混合,计量精度,±0.5,0.5,-0.5,%,关键,计量泵标定
HD-T503,3.双螺杆挤出,一区温度,160,170,150,℃,重要,DCS
HD-T503,3.双螺杆挤出,四区温度,195,205,185,℃,关键,DCS
HD-T503,3.双螺杆挤出,螺杆转速,220,280,160,rpm,一般,变频器
HD-T503,4.切粒干燥,干燥温度,90,100,80,℃,重要,DCS
HD-T503,4.切粒干燥,成品水分,≤0.03,0.03,,%,关键,卡尔费休每批
HD-T504,1.原料脱水,多元醇水分,≤0.03,0.03,,%,关键,卡尔费休
HD-T504,2.浇注混合,混合头温度,95,105,85,℃,关键,DCS
HD-T504,2.浇注混合,计量精度,±0.5,0.5,-0.5,%,关键,计量泵标定
HD-T504,3.双螺杆挤出,一区温度,160,170,150,℃,重要,DCS
HD-T504,3.双螺杆挤出,四区温度,195,205,185,℃,关键,DCS
HD-T504,3.双螺杆挤出,螺杆转速,220,280,160,rpm,一般,变频器
HD-T504,4.切粒干燥,干燥温度,90,100,80,℃,重要,DCS
HD-T504,4.切粒干燥,成品水分,≤0.03,0.03,,%,关键,卡尔费休每批
HD-T505,1.原料脱水,多元醇水分,≤0.03,0.03,,%,关键,卡尔费休
HD-T505,2.浇注混合,混合头温度,95,105,85,℃,关键,DCS
HD-T505,2.浇注混合,计量精度,±0.5,0.5,-0.5,%,关键,计量泵标定
HD-T505,3.双螺杆挤出,一区温度,160,170,150,℃,重要,DCS
HD-T505,3.双螺杆挤出,四区温度,195,205,185,℃,关键,DCS
HD-T505,3.双螺杆挤出,螺杆转速,220,280,160,rpm,一般,变频器
HD-T505,4.切粒干燥,干燥温度,90,100,80,℃,重要,DCS
HD-T505,4.切粒干燥,成品水分,≤0.03,0.03,,%,关键,卡尔费休每批
HD-T506,1.原料脱水,多元醇水分,≤0.03,0.03,,%,关键,卡尔费休
HD-T506,2.浇注混合,混合头温度,95,105,85,℃,关键,DCS
HD-T506,2.浇注混合,计量精度,±0.5,0.5,-0.5,%,关键,计量泵标定
HD-T506,3.双螺杆挤出,一区温度,160,170,150,℃,重要,DCS
HD-T506,3.双螺杆挤出,四区温度,195,205,185,℃,关键,DCS
HD-T506,3.双螺杆挤出,螺杆转速,220,280,160,rpm,一般,变频器
HD-T506,4.切粒干燥,干燥温度,90,100,80,℃,重要,DCS
HD-T506,4.切粒干燥,成品水分,≤0.03,0.03,,%,关键,卡尔费休每批
