需求编号,客户名称(虚构),客户类型,应用领域,关键性能要求,剥离要求(N/3cm),耐水解要求(周),耐磨要求(马丁代尔次),环保/认证要求,目标价格(元/kg),预计月用量(吨),收到日期,状态,转化产品编号,对接项目编号
RQ-2025-097,海宁天成合成革有限公司,合成革厂,管材,耐水解≥4周(70℃×95%RH强度保持率≥70%)；耐低温,,4,,耐压；ZDHC MRSL,27.9,5,2024-12-11,评估中,,
RQ-2025-098,桐乡永盛革业有限公司,薄膜/制品厂,球革,剥离强度≥26N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥25440次；-20℃耐折≥5万次,26,5,25440,高回弹；bluesign(可选),16.7,120,2026-07-07,已转化,HD-W111,RD-2026-002
RQ-2025-099,海宁天成超纤材料有限公司,汽车内饰件厂,密封件,耐水解≥4周(70℃×95%RH强度保持率≥70%)；耐低温,,4,,耐油；无特殊要求,32.0,5,2026-05-14,送样中,HD-T504,
RQ-2026-100,桐乡嘉禾合成革有限公司,贸易商,电子包装革,剥离强度≥26N/3cm；耐水解≥3周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥9316次；-10℃耐折≥3万次,26,3,9316,耐折痕；主机厂认可(汽车),21.2,80,2024-10-27,已转化,HD-G208,
RQ-2024-101,丽水森源合成革有限公司,制鞋厂(直供),球革,剥离强度≥25N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥22668次；-20℃耐折≥5万次,25,5,22668,高回弹；REACH SVHC,22.8,5,2025-10-21,评估中,,
RQ-2026-102,丽水嘉禾合成革有限公司,汽车内饰件厂,电子包装革,剥离强度≥30N/3cm；耐水解≥4周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥11916次；-10℃耐折≥3万次,30,4,11916,耐折痕；无特殊要求,16.6,80,2025-01-29,送样中,HD-G208,
RQ-2024-103,嘉兴天成新材料有限公司,汽车内饰件厂,运动鞋面革,剥离强度≥33N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥22919次；-20℃耐折≥5万次,33,5,22919,ZDHC MRSL合规、低DMF；GRS(回收),21.7,10,2025-12-13,送样中,HD-W110,
RQ-2026-104,丽水瑞尔革业有限公司,薄膜/制品厂,鞋面革,剥离强度≥28N/3cm；耐水解≥4周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥18493次；-20℃耐折≥3万次,28,4,18493,低DMF；REACH SVHC,21.6,200,2026-04-14,已转化,HD-G206,
RQ-2026-105,嘉兴华宇合成革有限公司,合成革厂,鞋底,耐水解≥4周(70℃×95%RH强度保持率≥70%)；-20℃耐折≥8万次,,4,,耐磨DIN≤70mm³；GRS(回收),19.5,15,2025-05-27,送样中,HD-T501,
RQ-2025-106,桐乡嘉禾合成革有限公司,制鞋厂(直供),沙发革,剥离强度≥28N/3cm；耐水解≥6周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥20138次；常温耐折≥10万次,28,6,20138,阻燃(可选)、低气味；ZDHC MRSL,14.5,120,2024-11-23,搁置,,
RQ-2026-107,嘉兴华宇合成革有限公司,合成革厂,球革,剥离强度≥31N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥23292次；-20℃耐折≥5万次,31,5,23292,高回弹；OEKO-TEX Standard 100,17.4,30,2024-10-07,已转化,HD-W111,RD-2025-005
RQ-2026-108,嘉兴鑫隆新材料有限公司,薄膜/制品厂,箱包革,剥离强度≥26N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥18417次；-10℃耐折≥5万次,26,5,18417,低气味；GRS(回收),14.2,120,2026-04-13,评估中,,
RQ-2025-109,嘉兴永盛革业有限公司,合成革厂,管材,耐水解≥5周(70℃×95%RH强度保持率≥70%)；耐低温,,5,,耐压；bluesign(可选),31.6,20,2025-10-19,已转化,HD-T505,RD-2024-004
RQ-2024-110,嘉兴华宇合成革有限公司,贸易商,沙发革,剥离强度≥26N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥20727次；常温耐折≥10万次,26,5,20727,低气味；REACH SVHC,15.1,80,2026-06-16,送样中,HD-W106,
RQ-2025-111,成都鑫隆超纤材料有限公司,制鞋厂(直供),沙发革,剥离强度≥28N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥27260次；常温耐折≥10万次,28,5,27260,阻燃(可选)；主机厂认可(汽车),13.1,30,2024-11-28,送样中,HD-W106,
RQ-2024-112,海宁天成合成革有限公司,贸易商,箱包革,剥离强度≥30N/3cm；耐水解≥4周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥13574次；-10℃耐折≥5万次,30,4,13574,低气味；bluesign(可选),16.7,5,2025-09-09,搁置,,
RQ-2025-113,泉州嘉禾合成革有限公司,薄膜/制品厂,沙发革,剥离强度≥29N/3cm；耐水解≥6周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥20169次；常温耐折≥10万次,29,6,20169,低气味、阻燃(可选)；无特殊要求,14.8,120,2024-10-05,送样中,HD-S304,
RQ-2025-114,成都美佳合成革有限公司,合成革厂,鞋底,耐水解≥3周(70℃×95%RH强度保持率≥70%)；-20℃耐折≥8万次,,3,,耐磨DIN≤70mm³；主机厂认可(汽车),27.3,10,2026-05-09,评估中,,
RQ-2025-115,嘉兴鑫隆新材料有限公司,汽车内饰件厂,管材,耐水解≥4周(70℃×95%RH强度保持率≥70%)；耐低温,,4,,耐压；bluesign(可选),31.3,200,2024-09-09,已转化,HD-T505,
RQ-2026-116,嘉兴鑫隆新材料有限公司,超纤革厂,沙发革,剥离强度≥20N/3cm；耐水解≥5周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥23482次；常温耐折≥10万次,20,5,23482,阻燃(可选)、低气味；REACH SVHC,14.5,200,2025-10-11,送样中,HD-W106,
RQ-2024-117,海宁恒丰超纤材料有限公司,薄膜/制品厂,密封件,耐水解≥4周(70℃×95%RH强度保持率≥70%)；耐低温,,4,,耐油；REACH SVHC,34.2,15,2026-07-09,评估中,,
RQ-2026-118,丽水森源合成革有限公司,薄膜/制品厂,电子包装革,剥离强度≥23N/3cm；耐水解≥3周(70℃×95%RH强度保持率≥70%)；马丁代尔耐磨≥11343次；-10℃耐折≥3万次,23,3,11343,外观细腻、耐折痕；主机厂认可(汽车),17.4,50,2025-04-20,已转化,HD-G208,
RQ-2025-119,泉州永盛合成革有限公司,汽车内饰件厂,鞋底,耐水解≥3周(70℃×95%RH强度保持率≥70%)；-20℃耐折≥8万次,,3,,耐磨DIN≤70mm³；GRS(回收),28.3,30,2025-03-30,搁置,,
RQ-2024-120,晋江森源合成革有限公司,汽车内饰件厂,鞋底,耐水解≥3周(70℃×95%RH强度保持率≥70%)；-20℃耐折≥8万次,,3,,耐磨DIN≤70mm³；OEKO-TEX Standard 100,28.6,80,2026-07-05,搁置,,
